ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_307uupfjNEKXkAs,Default Response Set,Anonymous,,,50.26.91.56,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,85.705,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,99,9,1,31,1,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,35.16130066,-101.8789978,-1
R_3m1AWZkZvl3fSim,Default Response Set,Anonymous,,,50.138.139.182,0,10/7/2016 17:24,10/7/2016 17:29,1,1,1,1,1,0,0,70.961,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,1,,,1,1,1,40,6,1,50,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,42.47549438,-70.9068985,-1
R_3DdbW0XrEfn8M0H,Default Response Set,Anonymous,,,172.72.43.240,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,57.417,0,1,1,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,100,9,1,33,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,35.17070007,-80.79199982,-1
R_PUTySiWFMFJINnH,Default Response Set,Anonymous,,,216.114.228.111,0,10/7/2016 17:26,10/7/2016 17:29,1,1,1,1,,,,,,,,,,,1,0,0,83.325,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,80,10,1,42,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,2|1,,44.13079834,-94,-1
R_0qFiFNZx4rUxRVn,Default Response Set,Anonymous,,,108.236.240.242,0,10/7/2016 17:25,10/7/2016 17:29,1,1,1,1,,,,,,1,0,0,73.401,0,,,,,,,,,,2,2,1,,1,,1,,1,,1,,1,1,1,1,71,10,2,36,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,28.91099548,-81.1855011,-1
R_23TqyXiKiAurS4s,Default Response Set,Anonymous,,,50.76.245.12,0,10/7/2016 17:24,10/7/2016 17:29,1,1,1,1,1,0,0,88.931,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,,1,,1,1,,91,7,1,51,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,41.62060547,-86.73410034,-1
R_1HkJ66BKoxybkkJ,Default Response Set,Anonymous,,,108.31.62.68,0,10/7/2016 17:26,10/7/2016 17:29,1,1,1,1,,,,,,1,2.965,14.182,100.935,5,,,,,,,,,,2,1,,1,,1,1,,1,,1,,1,1,1,,8,10,1,37,2,,,,,1,,,Norm conforming,Object Questions,,Object_Rel|Object_cause,,,2|1,,38.67799377,-77.31970215,-1
R_WlhcvPKUwSlEACZ,Default Response Set,Anonymous,,,207.104.54.2,0,10/7/2016 17:27,10/7/2016 17:30,1,1,1,1,,,,,,,,,,,1,1.644,1.921,45.517,2,,,,,2,1,,1,1,1,,1,1,1,1,,1,1,1,1,97,9,1,35,2,,1,,,,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,37.67829895,-120.9501038,-1
R_3n0OcQj3cJGMN7j,Default Response Set,Anonymous,,,50.179.47.234,0,10/7/2016 17:30,10/7/2016 17:31,1,1,1,1,1,0,0,34.929,0,,,,,,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,,1,1,,75,7,1,28,2,,1,,,,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,40.11439514,-88.28130341,-1
R_12K0VuIWzGxPmO4,Default Response Set,Anonymous,,,50.137.142.118,0,10/7/2016 17:28,10/7/2016 17:31,1,1,1,1,,,,,,1,0,0,58.329,0,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,1,1,1,1,90,10,2,31,2,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,45.48179626,-122.6004944,-1
